"Feature","Probability"
"fragment_141.1125","0.246476083841"
"fragment_252.2675","0.0879346043482"
"fragment_112.0825","0.0321068839329"
"fragment_366.9375","0.0196731571338"
"fragment_270.2775","0.0189721116029"
"fragment_347.2575","0.0147616196816"
"fragment_367.6075","0.0144147792637"
"fragment_367.2725","0.013683676488"
"fragment_253.2725","0.011491775373"
"fragment_347.5925","0.00973961895496"
"loss_106.1025","0.00854786336833"
"fragment_103.0725","0.00839548564953"
"loss_56.9325","0.00824705070339"
"fragment_351.2475","0.00824698946585"
"fragment_452.2825","0.00824693894687"
"fragment_418.3325","0.00824692621677"
"fragment_541.9025","0.00823887097707"
"fragment_171.1175","0.00804320636502"
"loss_98.1125","0.00781773922564"
"fragment_140.0675","0.00708396466139"
"loss_140.1025","0.00602729186133"
"fragment_367.9425","0.00600728885169"
"fragment_142.1175","0.00583880732082"
"fragment_542.4075","0.00529494364861"
"loss_17.0025","0.00508092969934"
"fragment_265.1225","0.00496492736788"
"loss_122.5725","0.00496429469238"
"loss_193.2075","0.004593515757"
"loss_175.2275","0.00454385319266"
"loss_65.2425","0.00419809703359"
"fragment_135.9425","0.00419397858129"
"loss_99.0775","0.00415778829035"
"fragment_156.0675","0.00410747699988"
"fragment_351.5925","0.00406613201468"
"fragment_452.7825","0.00396711226251"
"fragment_347.9275","0.00386824546042"
"fragment_271.2825","0.00377195783989"
"fragment_288.2875","0.00376900004558"
"fragment_555.3875","0.00374387846199"
"fragment_270.1825","0.00351407718772"
"fragment_117.9875","0.00349716215645"
"loss_83.1975","0.00349716103904"
"loss_72.2375","0.00341469920499"
"fragment_128.9475","0.0033892251924"
"fragment_98.0675","0.00337725869936"
"fragment_146.0975","0.00329006640275"
"fragment_323.1825","0.00319347229324"
"fragment_361.6025","0.0029363375566"
"loss_46.3525","0.00290351808507"
"loss_81.1025","0.00287869002126"
"loss_104.0875","0.00279715515801"
"loss_99.0725","0.00271605261923"
"fragment_559.3625","0.00257311003641"
"fragment_112.0875","0.00256949304934"
"fragment_142.0975","0.00256133173912"
"fragment_112.0925","0.00251572043998"
"fragment_267.1225","0.0024903102709"
"fragment_722.4975","0.00248284295711"
"fragment_96.0425","0.00243347904185"
"fragment_202.0775","0.00239215216357"
"fragment_531.2725","0.00238570138953"
"fragment_353.2575","0.00230140923713"
"loss_51.6875","0.00212012004125"
"fragment_206.1525","0.00211309608879"
"fragment_681.4725","0.00210240264177"
"fragment_166.0475","0.00201272711364"
"fragment_143.1175","0.00201050062152"
"loss_46.0175","0.00196344043012"
"fragment_168.1725","0.00189159807613"
"fragment_437.8125","0.00185871962358"
"fragment_694.4675","0.0018066579835"
"fragment_272.2375","0.00180470530411"
"fragment_792.4975","0.001797869527"
"loss_35.0225","0.00177171970359"
"loss_173.0375","0.00173963081672"
"fragment_542.9075","0.00173254411854"
"fragment_341.5825","0.00173246947569"
"fragment_427.2875","0.0017309141159"
"loss_16.0525","0.00173076081974"
"fragment_482.3125","0.00172407588816"
"loss_161.1725","0.00172359050311"
"fragment_359.2425","0.00172358074952"
"fragment_365.3525","0.0017222446289"
"loss_145.0625","0.00171904008975"
"fragment_253.2675","0.00170742705238"
"loss_179.1925","0.00170488013292"
"fragment_368.2775","0.00168015549491"
"fragment_212.1075","0.00167141021237"
"fragment_342.2675","0.00166926093002"
"fragment_351.9275","0.00166645918112"
"fragment_122.0925","0.00164946582614"
"fragment_107.9625","0.00164799382451"
"loss_142.1175","0.00164170936092"
"fragment_666.4375","0.00159120651528"
"loss_93.0425","0.00158072297844"
"loss_16.0025","0.00157449993221"
"loss_10.0075","0.00153446885008"
"fragment_208.5925","0.00153446865232"
"loss_179.1025","0.00153446517572"
"loss_86.2175","0.00150980504287"
"fragment_114.9675","0.0015047995092"
"loss_173.1725","0.00149745827792"
"loss_197.1825","0.00148884949838"
"fragment_438.3175","0.00145989877384"
"fragment_430.3025","0.00143792514877"
"loss_51.3525","0.00141093865446"
"fragment_361.9425","0.00141093815383"
"fragment_265.6225","0.00140252792822"
"loss_122.0675","0.001402525328"
"fragment_294.2775","0.0013998230828"
"loss_107.1325","0.00139431859787"
"fragment_351.2575","0.00138617309754"
"fragment_352.2025","0.00137781598762"
"loss_139.0975","0.00136954570183"
"loss_191.1925","0.00136805774258"
"loss_100.0825","0.00129538066357"
"loss_183.2225","0.00128686242615"
"loss_141.1075","0.00124591867459"
"fragment_723.5025","0.0011881751528"
"fragment_453.2725","0.0011716196693"
"loss_185.6875","0.00112118880532"
"fragment_119.0825","0.00110647778517"
"loss_55.9325","0.00110575910652"
"fragment_133.0625","0.00109217622477"
"fragment_413.6525","0.00108108682523"
"fragment_370.9525","0.00108078580872"
"fragment_382.8075","0.00108000865229"
"fragment_556.3875","0.00106383494131"
"fragment_489.2475","0.00105630164506"
"loss_182.1325","0.00105630147688"
"fragment_456.2375","0.00103921021017"
"fragment_413.2825","0.00103160907575"
"fragment_215.1425","0.00102312961719"
"loss_116.0575","0.00102260079993"
"fragment_111.0775","0.00101664606128"
"fragment_138.0775","0.0010144865374"
