"Feature","Probability"
"fragment_326.2425","0.449159582074"
"fragment_439.3275","0.136207578742"
"fragment_327.2475","0.0655983036943"
"fragment_213.1575","0.0610051524743"
"fragment_196.1325","0.0451546186546"
"fragment_185.1625","0.0311527514955"
"fragment_552.4125","0.02634077136"
"fragment_142.0875","0.0190733957972"
"fragment_213.1625","0.0164710334179"
"fragment_440.3275","0.0149662614748"
"fragment_440.3325","0.0129289664797"
"fragment_227.1775","0.0102454791566"
"fragment_227.1725","0.00654804378713"
"fragment_553.4125","0.00588868463188"
"fragment_327.2425","0.00562310651519"
"fragment_114.0875","0.00520378725788"
"fragment_214.1625","0.00384313287188"
"fragment_142.0825","0.00277252398698"
"fragment_665.4975","0.00259926446854"
"fragment_328.2475","0.00243048486964"
"fragment_538.3975","0.00219788298392"
"fragment_465.2475","0.00202489311381"
"fragment_197.1375","0.00182809518858"
"fragment_441.3325","0.00182799308555"
"fragment_651.4775","0.00163541511311"
"fragment_665.4925","0.00163235283117"
"fragment_276.7075","0.00161333679171"
"fragment_713.4975","0.00159101327048"
"fragment_185.1575","0.00144782185515"
"fragment_439.3025","0.00139952452662"
"fragment_382.7875","0.00134648885435"
"fragment_553.4175","0.00125266230154"
"fragment_666.4975","0.00123030798454"
"fragment_487.3275","0.00120777674032"
