"Feature","Probability"
"fragment_169.1325","0.295476018955"
"fragment_197.1275","0.255855233117"
"loss_99.0675","0.155016657024"
"fragment_210.2225","0.0301286830196"
"loss_196.1225","0.027114644903"
"loss_98.5675","0.0183321006087"
"fragment_310.2125","0.018303176774"
"loss_98.0625","0.0134842757628"
"fragment_198.1325","0.00712195251082"
"fragment_126.0525","0.00678495380422"
"loss_72.0575","0.00669738417872"
"fragment_312.1925","0.00611961817826"
"fragment_513.4125","0.00579827409242"
"fragment_399.3275","0.00579770195778"
"fragment_328.2225","0.00579678440498"
"loss_98.0675","0.0052067461481"
"fragment_409.2775","0.00471933473956"
"fragment_98.0575","0.00439990161129"
"fragment_211.2225","0.00436588264126"
"loss_195.1175","0.00346769120444"
"fragment_170.1325","0.00304207866827"
"fragment_338.1325","0.00254060787971"
"fragment_229.1475","0.00251395092737"
"fragment_226.1275","0.00246952452312"
"fragment_199.1375","0.00210900029484"
"fragment_437.2025","0.00186441794613"
"fragment_98.0625","0.00180966316827"
"loss_159.0775","0.00179204520474"
"fragment_217.1275","0.00178245011409"
"fragment_409.2175","0.00176871945316"
"loss_118.1725","0.00168559182325"
"fragment_245.1225","0.00164560286706"
"fragment_170.1375","0.00160335011635"
"fragment_514.4125","0.0016005331694"
"loss_115.0675","0.00149410877313"
"fragment_217.1225","0.00149244704637"
"fragment_101.0675","0.00148306036713"
"fragment_198.1275","0.00134076263287"
"fragment_400.3325","0.00131006213183"
"loss_71.0525","0.00113466620057"
"fragment_211.2275","0.00100328748008"
