"Feature","Probability"
"fragment_134.0975","0.18831550215"
"fragment_100.0725","0.163686504423"
"fragment_162.0925","0.0541915420713"
"fragment_190.0875","0.0306525395142"
"fragment_300.7075","0.0249341446793"
"fragment_374.2425","0.023101959963"
"fragment_381.2525","0.0169298232414"
"fragment_437.7925","0.0143832964477"
"fragment_180.0675","0.0114398147004"
"loss_116.7725","0.0111163108606"
"fragment_135.0975","0.00976504671914"
"fragment_202.1925","0.00936925838508"
"fragment_283.1775","0.00902519796321"
"fragment_197.0925","0.00840748351241"
"fragment_438.2975","0.00801073005184"
"fragment_169.0975","0.00745681153264"
"fragment_381.7525","0.007068799921"
"fragment_301.2125","0.0070569571873"
"loss_127.0975","0.00673400106294"
"loss_158.1075","0.00632987514307"
"loss_104.6125","0.00599962169478"
"fragment_173.6275","0.00589196256477"
"fragment_631.4675","0.0056663067914"
"fragment_357.2125","0.00566590561793"
"fragment_324.7075","0.00565679248205"
"loss_97.6025","0.00556193776073"
"loss_144.7725","0.00509110067917"
"loss_41.0625","0.00499666857786"
"loss_178.1425","0.00497241625911"
"loss_66.9575","0.00485662490842"
"fragment_275.9575","0.00484257755071"
"fragment_487.3275","0.00472639118793"
"fragment_367.6075","0.00451015762761"
"fragment_375.2475","0.0043894602432"
"fragment_214.1175","0.0043160941501"
"fragment_322.1925","0.00418812694585"
"loss_181.1375","0.00407848015306"
"fragment_244.6675","0.00405324495612"
"fragment_432.2825","0.00378087730949"
"fragment_518.3825","0.00365832898444"
"loss_152.6125","0.00362308420181"
"loss_178.1475","0.00347261991278"
"fragment_196.1075","0.00344877608816"
"fragment_244.1575","0.00342092295266"
"loss_144.7675","0.00334922730943"
"fragment_342.9225","0.00333066452229"
"loss_40.5575","0.00322184750212"
"loss_127.1025","0.00317795494118"
"fragment_116.1075","0.0031776178337"
"loss_66.7075","0.00312433764574"
"fragment_276.2075","0.00312204218413"
"loss_48.0675","0.00303416820629"
"fragment_342.2325","0.00301204580327"
"fragment_358.2075","0.00298233163681"
"loss_96.0675","0.00293597737319"
"fragment_367.9425","0.00279004965919"
"fragment_119.0725","0.00271132181912"
"fragment_157.0825","0.00256421202013"
"fragment_244.1675","0.0025015335033"
"fragment_770.3675","0.00247988897899"
"fragment_275.1725","0.00238849140416"
"fragment_101.0775","0.00233358133731"
"fragment_438.7975","0.0022971228377"
"loss_196.0375","0.00229146862708"
"fragment_574.3225","0.00229144612558"
"loss_97.1025","0.0022104827106"
"loss_50.7075","0.00220622099771"
"fragment_481.8425","0.00214581934349"
"fragment_100.0875","0.00202061573326"
"fragment_135.0825","0.00201764228716"
"loss_143.0925","0.00201473369942"
"fragment_163.0925","0.00199951097197"
"loss_13.0225","0.0019026945594"
"fragment_476.3575","0.00180527432584"
"loss_126.0975","0.00177916571971"
"loss_177.6425","0.0017037473351"
"fragment_388.2575","0.00169914389739"
"loss_155.6025","0.00168357769939"
"fragment_771.3875","0.00160461728981"
"fragment_407.2925","0.00160091586571"
"fragment_632.4675","0.00159083241314"
"fragment_343.2425","0.00156830924821"
"fragment_325.2125","0.00156214651291"
"loss_90.5925","0.0015443736707"
"fragment_422.3075","0.00146507585922"
"fragment_325.2475","0.00145293398809"
"loss_12.9925","0.00143928285398"
"fragment_419.2875","0.00143476925572"
"loss_145.1425","0.00142964054678"
"loss_103.6075","0.00142888975375"
"loss_193.1575","0.00142860914938"
"fragment_772.4075","0.00141007561524"
"fragment_187.6275","0.00138931445623"
"fragment_600.4125","0.00136915316239"
"fragment_284.1825","0.00136802353946"
"fragment_293.7025","0.00134861500515"
"fragment_419.1975","0.00133135954531"
"fragment_163.0975","0.00131916378637"
"fragment_488.3325","0.0013160951335"
"loss_50.3725","0.00131287749684"
"loss_150.1125","0.0012973053451"
"loss_85.7225","0.00129485786359"
"fragment_482.3475","0.00128275951151"
"fragment_185.1675","0.00124624788604"
"fragment_342.5975","0.00120976367213"
"loss_113.7625","0.00117934408763"
"fragment_337.2475","0.00116329962949"
"loss_178.1125","0.00116300954814"
"fragment_341.2675","0.00115148490727"
"fragment_382.2525","0.00114305575037"
"fragment_131.1175","0.00109891244897"
"fragment_418.2975","0.00108820127698"
"fragment_239.1775","0.00107185657523"
"fragment_185.0775","0.00106276923608"
"fragment_458.2475","0.0010577916051"
"loss_66.4675","0.00104917073244"
"fragment_381.7575","0.00101529834822"
"loss_157.8375","0.00100054590834"
