"Feature","Probability"
"loss_17.0275","0.323134249728"
"fragment_211.1425","0.185632021885"
"loss_16.0225","0.0510625661426"
"loss_187.1425","0.0206111176192"
"fragment_406.2675","0.0202302189747"
"fragment_212.1475","0.0124567461373"
"fragment_335.1475","0.0106665502853"
"loss_66.0275","0.0101206036533"
"fragment_693.3975","0.0101205123853"
"fragment_406.7675","0.00862278807698"
"fragment_313.2275","0.007885074064"
"fragment_363.1425","0.00758034009892"
"fragment_130.0475","0.00736074143833"
"loss_147.1225","0.00729717591655"
"loss_94.0225","0.00729716609769"
"loss_18.0325","0.00589715389244"
"loss_89.0025","0.00575892108685"
"fragment_283.1425","0.00562159664393"
"loss_15.0175","0.00531928894903"
"loss_173.0975","0.00518209109201"
"fragment_229.1275","0.0051443718565"
"loss_34.0525","0.00511217336955"
"loss_115.5925","0.00504043523257"
"loss_44.0425","0.00474641353926"
"loss_108.0375","0.0045344340618"
"loss_33.0425","0.00440290336081"
"loss_130.0975","0.00436493078681"
"fragment_694.3975","0.00411080681284"
"loss_46.0525","0.00409572703003"
"fragment_183.1475","0.00393694559941"
"fragment_256.6875","0.00382601827377"
"fragment_213.1275","0.00371472923861"
"loss_99.5575","0.00330608323368"
"fragment_138.1275","0.00316301925509"
"fragment_183.1375","0.00315709151091"
"fragment_460.1975","0.00314726769619"
"fragment_580.3075","0.0031175991327"
"loss_151.0775","0.00293883555364"
"fragment_147.0975","0.00289983035466"
"loss_179.1125","0.00286469733124"
"loss_75.5225","0.00279391168873"
"loss_50.0675","0.00278373905817"
"fragment_167.0875","0.00276115137536"
"loss_145.5425","0.00267237758588"
"loss_30.4975","0.00255103600551"
"fragment_166.0725","0.00254080403611"
"fragment_141.6125","0.00253964156966"
"loss_135.5575","0.00252497172481"
"fragment_292.2075","0.00242481588687"
"loss_15.0375","0.00241521337972"
"fragment_212.1225","0.00238748290655"
"fragment_425.2775","0.00224477676286"
"fragment_310.2125","0.00221810130582"
"loss_59.5775","0.00221708225399"
"fragment_195.0925","0.00220305147396"
"fragment_250.0625","0.00217635906932"
"fragment_312.1975","0.00212262931848"
"loss_162.0875","0.00211752593821"
"loss_113.0775","0.00211281420651"
"fragment_336.1525","0.00208528069385"
"loss_131.0975","0.00181864561335"
"loss_80.0425","0.00177173995044"
"fragment_268.0825","0.00175132689251"
"loss_18.5575","0.00171109153115"
"fragment_293.2325","0.00160469852082"
"fragment_364.1475","0.00159952743915"
"loss_186.1375","0.00153822283118"
"fragment_184.1275","0.00150532177058"
"loss_191.0825","0.00149241486213"
"loss_113.5775","0.00140749656927"
"loss_181.1325","0.00136016327245"
"fragment_313.7275","0.00132644154916"
"fragment_159.0875","0.00129140608836"
"loss_108.9925","0.00127560832959"
"loss_88.4975","0.00126152341607"
"loss_199.1375","0.00124873772383"
"fragment_327.2125","0.00124631540988"
"fragment_292.2025","0.00123517415093"
"loss_65.0225","0.00122357246633"
"loss_25.0325","0.00122014663803"
"fragment_223.1575","0.00119216035304"
"fragment_226.1375","0.0011781064743"
"loss_179.0725","0.00117464452803"
"fragment_185.1425","0.00114087990129"
"fragment_307.1275","0.00109368660612"
"loss_95.1025","0.00109368656593"
"loss_151.1175","0.00109364750773"
"fragment_279.1425","0.00108656124031"
"loss_123.0825","0.00106834178885"
"loss_118.5225","0.00105320735619"
"fragment_283.7075","0.00105320716593"
"loss_168.1025","0.00105101936845"
"fragment_234.1225","0.0010090214876"
