"Feature","Probability"
"fragment_312.2275","0.193738084221"
"fragment_425.3125","0.147912806514"
"fragment_238.2525","0.0523824591575"
"fragment_538.3975","0.034401393563"
"fragment_426.3175","0.0300232604363"
"fragment_213.1575","0.0273638015139"
"fragment_313.2325","0.0270011218868"
"fragment_256.2625","0.0181248041227"
"fragment_524.3825","0.0136447276143"
"loss_121.0875","0.0131957551203"
"fragment_199.1525","0.0102859170845"
"fragment_411.2975","0.0100009861975"
"fragment_199.1475","0.0098827822316"
"fragment_637.4625","0.00754794063425"
"fragment_539.3975","0.00752070847633"
"fragment_214.1625","0.00692080871886"
"fragment_549.4075","0.00664564607486"
"fragment_185.1625","0.0065761875596"
"fragment_427.3175","0.00646031743286"
"fragment_426.3125","0.00637565750267"
"fragment_397.3175","0.00632980792593"
"fragment_196.1325","0.00600993447846"
"fragment_239.2575","0.00583030865105"
"fragment_342.2025","0.0057457316248"
"fragment_548.4025","0.00541988382378"
"loss_107.0575","0.00504021836505"
"fragment_494.3075","0.00503555786792"
"loss_116.9675","0.00503555710987"
"fragment_386.6125","0.00503552476046"
"loss_125.0925","0.0050354506568"
"fragment_372.2825","0.00503015066739"
"fragment_816.4025","0.00499587541411"
"fragment_817.4125","0.00481398079034"
"fragment_386.2725","0.00472334862585"
"fragment_171.1475","0.00436781331256"
"fragment_623.4475","0.00432142701425"
"fragment_386.9475","0.00418459397042"
"loss_157.1325","0.003765015836"
"fragment_441.2675","0.0034542787184"
"fragment_638.4675","0.0033535410814"
"fragment_372.6175","0.00318754985182"
"loss_198.1375","0.00315408300051"
"fragment_376.2675","0.00304162770683"
"loss_10.0175","0.00304162612063"
"fragment_328.1875","0.00304136717155"
"loss_126.0925","0.00299421773391"
"loss_117.5025","0.00292570968272"
"loss_120.0875","0.00291350457836"
"fragment_525.3825","0.00283771625737"
"fragment_379.6275","0.00281504922261"
"fragment_197.1625","0.00274013615801"
"fragment_314.2325","0.00263844223031"
"loss_117.9075","0.00253156108285"
"fragment_818.4125","0.0023367157114"
"fragment_817.4075","0.0023165336338"
"fragment_637.4675","0.00229211954857"
"fragment_390.2025","0.0022913992974"
"fragment_225.1225","0.00220205134514"
"fragment_229.1525","0.00217351215447"
"fragment_387.2775","0.00211013652758"
"fragment_120.0775","0.00208471826066"
"fragment_375.6125","0.00195404865475"
"loss_10.6725","0.0019540477775"
"fragment_651.4825","0.0019008528183"
"fragment_380.2925","0.00188986101997"
"fragment_656.3075","0.00180284014605"
"fragment_369.3475","0.00179692651915"
"fragment_750.5475","0.00179254576498"
"fragment_550.4075","0.00177311134683"
"loss_24.6775","0.00175768011624"
"fragment_387.6275","0.00175767965801"
"fragment_345.3075","0.00175744390756"
"fragment_327.3025","0.00174737372486"
"fragment_556.4075","0.00171212121252"
"fragment_624.4525","0.00166695565943"
"fragment_389.6175","0.0016620128677"
"fragment_215.1625","0.0015800087964"
"fragment_656.3875","0.00155100859074"
"fragment_235.1775","0.00155009879148"
"fragment_370.2425","0.0015462062702"
"loss_16.0425","0.00154620576214"
"fragment_384.2675","0.00154245544251"
"fragment_385.6075","0.00152103081239"
"fragment_379.9525","0.00148578487614"
"fragment_376.6125","0.00146060948305"
"loss_10.3425","0.00145557426503"
"fragment_375.9425","0.00145557372431"
"fragment_239.2525","0.00144684116832"
"fragment_309.2875","0.00142194991899"
"fragment_548.3325","0.00140522370664"
"fragment_388.2525","0.00131459205891"
"fragment_546.4025","0.00130455545787"
"fragment_495.3125","0.00129951988218"
"fragment_655.3925","0.00126904393675"
"fragment_428.3225","0.00123899458425"
"loss_124.0875","0.00123899254197"
"fragment_539.4025","0.00123442762779"
"fragment_585.4125","0.00121899568609"
"fragment_314.2075","0.00120334700839"
"fragment_655.9125","0.00118848248154"
"fragment_403.1625","0.00117858509536"
"fragment_338.1825","0.00116754397935"
"fragment_300.1925","0.00114432583106"
"fragment_186.1675","0.00113182116503"
"loss_48.1025","0.00112829367282"
"fragment_295.2025","0.00112318398244"
"fragment_586.3975","0.00111003151504"
"fragment_554.3525","0.00109785301973"
"fragment_315.1825","0.00109269450442"
"fragment_185.1675","0.00108981835007"
"loss_130.1075","0.00106028484448"
"fragment_294.2175","0.00105235954624"
"fragment_308.2325","0.00105159198219"
"fragment_384.9425","0.00104269709751"
"fragment_657.3675","0.00101225090369"
