"Feature","Probability"
"fragment_201.1225","0.125822853655"
"fragment_173.1275","0.0570052810404"
"fragment_148.0575","0.0482916952237"
"fragment_348.1775","0.0296366373672"
"fragment_261.1425","0.015817130577"
"fragment_896.5425","0.015006699422"
"fragment_895.9475","0.0134561161913"
"fragment_896.9525","0.00879588586354"
"loss_158.0975","0.0087639157962"
"fragment_233.1625","0.00830630604335"
"fragment_300.1725","0.00764738407361"
"fragment_896.4525","0.00750514030005"
"fragment_896.4475","0.0075051170678"
"fragment_673.8825","0.00750501762751"
"fragment_262.0975","0.00750500961605"
"loss_181.0675","0.00750496840542"
"loss_145.8125","0.00750485082601"
"loss_183.1525","0.0075048308409"
"fragment_717.4875","0.00750246081989"
"fragment_102.0575","0.00680194311602"
"loss_188.1775","0.0065752548855"
"loss_130.3775","0.00655195381773"
"fragment_272.1775","0.00636397322205"
"fragment_339.2275","0.00634878482048"
"loss_158.6025","0.00634877428623"
"fragment_897.5475","0.00540279191379"
"fragment_120.0775","0.00531262303618"
"fragment_674.3875","0.00524619387683"
"loss_164.3625","0.00489348116431"
"loss_164.0725","0.00488092444142"
"fragment_261.1575","0.0047631595007"
"fragment_245.1775","0.0046832797323"
"loss_182.1725","0.00465315960815"
"fragment_349.1775","0.00459252558072"
"fragment_260.1675","0.00449890049963"
"fragment_199.1525","0.00444723954564"
"fragment_232.1375","0.00439297476713"
"fragment_457.2825","0.00405674215567"
"loss_150.3725","0.00403047534967"
"fragment_213.6675","0.00402885753878"
"loss_19.4875","0.00402878122613"
"loss_52.0575","0.00390839693513"
"fragment_261.1475","0.00389534469331"
"loss_193.1575","0.00384225054625"
"fragment_95.0025","0.00384225054589"
"loss_116.3525","0.00380534419302"
"fragment_144.0875","0.00380528514525"
"loss_140.3625","0.00370028243263"
"fragment_897.4525","0.00363285931087"
"loss_180.0975","0.00358767350985"
"loss_179.8275","0.00358757438446"
"fragment_574.3425","0.00348295564217"
"fragment_130.0525","0.00346809825898"
"fragment_461.2625","0.00336019876988"
"fragment_122.0675","0.00331827975121"
"loss_190.1825","0.00328166179041"
"fragment_155.1175","0.00322400405176"
"fragment_277.1525","0.00316280307055"
"fragment_130.0475","0.00314495428802"
"loss_156.1175","0.00309149257131"
"fragment_674.8875","0.0030474053172"
"fragment_718.4925","0.00292477937405"
"fragment_314.2075","0.00284566709725"
"loss_148.8225","0.00282963015406"
"loss_128.6175","0.00282923351008"
"fragment_173.1225","0.00279552600185"
"fragment_202.1275","0.00275654406329"
"fragment_261.1275","0.0027498827485"
"fragment_102.0625","0.00263556158356"
"loss_155.0475","0.00249954299247"
"fragment_694.3925","0.00249154536807"
"fragment_96.0425","0.00248453189477"
"loss_159.6225","0.00232554947035"
"fragment_737.4075","0.00226828471299"
"loss_109.0425","0.00226651404964"
"loss_166.1575","0.0022561985013"
"fragment_257.2475","0.00225193083165"
"loss_165.8275","0.0022442865214"
"fragment_174.1325","0.0022105227511"
"fragment_132.0875","0.00219652370109"
"fragment_104.0525","0.00215019428792"
"fragment_374.2425","0.00213700030405"
"loss_101.0675","0.00211968638797"
"loss_165.0775","0.00211910364059"
"loss_20.7125","0.00208669485729"
"fragment_272.1725","0.0020818260075"
"fragment_146.0975","0.00208067413313"
"fragment_147.1075","0.00208028669291"
"loss_123.8275","0.00204917286996"
"fragment_251.1175","0.00203399712581"
"fragment_344.2025","0.0020336481902"
"loss_165.1425","0.00197853972296"
"fragment_156.0875","0.00193674279305"
"fragment_274.2175","0.00191421612468"
"fragment_233.1525","0.0018733778706"
"loss_38.0375","0.00187131288472"
"loss_17.7275","0.00185405816892"
"fragment_257.1825","0.0018413037521"
"fragment_126.0875","0.00184052990413"
"loss_168.2025","0.00183150672215"
"fragment_144.0525","0.0018314951071"
"fragment_227.1175","0.00182206256172"
"fragment_720.4325","0.00182165171732"
"fragment_296.1975","0.0018023654765"
"fragment_242.2475","0.00177926149647"
"fragment_262.1475","0.00177913805354"
"loss_130.0675","0.00177166012629"
"fragment_149.0625","0.00176919486586"
"fragment_353.2775","0.00171922632677"
"fragment_109.0825","0.00171659711551"
"fragment_147.1025","0.00171512300646"
"loss_33.3225","0.00170411284561"
"loss_190.0875","0.00167405450794"
"loss_198.0675","0.0016515461562"
"fragment_112.0975","0.00165153934517"
"fragment_142.0825","0.00163585038634"
"fragment_200.1525","0.00161999477784"
"fragment_378.2025","0.00161680346559"
"fragment_475.2925","0.0016140412332"
"loss_192.1775","0.00160635265298"
"loss_56.0475","0.00158384748957"
"fragment_256.2075","0.00158328533969"
"loss_104.0575","0.00157338100287"
"fragment_197.1275","0.00154511986434"
"loss_164.1725","0.00153132139091"
"fragment_148.0775","0.00152529455509"
"fragment_307.1025","0.00147157658623"
"loss_82.5325","0.0014489952743"
"fragment_167.0825","0.00143763644391"
"fragment_166.0575","0.00143301066324"
"loss_104.3525","0.00138892814976"
"fragment_158.0825","0.00138833023569"
"fragment_977.6025","0.00138140312223"
"fragment_231.1725","0.00137336515379"
"fragment_413.2525","0.00137246403928"
"loss_139.0725","0.0013690011952"
"loss_130.8325","0.00135876832261"
"fragment_162.0775","0.00135133408719"
"fragment_179.1175","0.00134785786984"
"loss_94.3825","0.00134390176519"
"loss_82.0275","0.00133640958662"
"loss_131.0475","0.00132885555151"
"fragment_129.0875","0.00130792063294"
"loss_121.0525","0.0012891497238"
"loss_177.8225","0.00124611781146"
"fragment_353.2825","0.00123896797682"
"loss_66.0075","0.00123130017798"
"fragment_259.1525","0.00122422904619"
"fragment_273.1775","0.00120480735134"
"loss_163.0725","0.00117719420966"
"loss_129.5675","0.00116379271258"
"fragment_360.2175","0.00113383745393"
"loss_151.8075","0.00113363573689"
"fragment_234.1675","0.00112926447217"
"fragment_123.1075","0.00111815334298"
"loss_89.0475","0.00111546571828"
"fragment_627.3875","0.0011100082761"
"fragment_296.1925","0.00110288096198"
"loss_163.0625","0.00109701628502"
"fragment_682.3975","0.0010885831758"
"fragment_310.2125","0.00108697305528"
"fragment_98.0875","0.00108146893425"
"fragment_215.1325","0.00107528291276"
"loss_145.1725","0.00107355988777"
"fragment_330.1675","0.00105656586443"
"fragment_688.3825","0.00105115622417"
"fragment_301.1725","0.00104254723571"
"fragment_312.1725","0.00104250994026"
"fragment_898.5525","0.00102098795037"
"loss_10.4875","0.00100601829656"
