"Feature","Probability"
"fragment_129.1025","0.87068432851"
"fragment_257.1975","0.057911439646"
"fragment_101.1075","0.0164737445065"
"fragment_205.1325","0.00712556355606"
"fragment_112.0725","0.00552924769292"
"fragment_222.1625","0.00494704838258"
"fragment_240.1675","0.00332633652564"
"fragment_222.1575","0.00317140059051"
"fragment_195.1475","0.00300570975465"
"fragment_130.1025","0.00298259713938"
"fragment_130.0975","0.00272226052425"
"fragment_111.0875","0.00248656121467"
"fragment_275.2075","0.00223888230106"
"fragment_97.0825","0.00174592415752"
"fragment_240.1725","0.00145405186449"
"fragment_212.1775","0.00125268690162"
"fragment_238.1525","0.00104287982821"
