"Feature","Probability"
"fragment_133.0875","0.202428190276"
"fragment_177.1125","0.095319510163"
"fragment_124.0775","0.0781726454359"
"fragment_102.0675","0.0714537122008"
"fragment_131.0875","0.0585878979482"
"fragment_109.0725","0.0514008680199"
"fragment_146.0925","0.0452985018788"
"fragment_147.1025","0.0385915563049"
"fragment_153.1025","0.0381128905228"
"fragment_103.0725","0.0365149467649"
"fragment_191.1275","0.0296227618346"
"fragment_101.0575","0.0258100887983"
"fragment_129.0875","0.0220798364956"
"fragment_175.1125","0.0181466288845"
"fragment_168.1075","0.0153367266423"
"fragment_221.1375","0.0123700312307"
"fragment_197.1275","0.0102596767552"
"fragment_138.0975","0.00967728212108"
"fragment_173.1125","0.00891541862481"
"fragment_235.1525","0.00874799419943"
"fragment_117.0875","0.00833820707093"
"fragment_116.0825","0.0068026526006"
"fragment_160.1075","0.0064396219593"
"fragment_175.1075","0.00631128020855"
"fragment_173.1075","0.00610556356872"
"fragment_134.0875","0.00545190885222"
"fragment_405.2025","0.00437264904096"
"fragment_182.1225","0.00395303794252"
"fragment_190.1175","0.00333909998661"
"fragment_151.0825","0.00325331009441"
"fragment_160.1125","0.00255346605992"
"fragment_138.0925","0.00243946364649"
"fragment_168.1025","0.00209736633607"
"fragment_323.2075","0.00180841427533"
"fragment_124.5825","0.00162508008348"
"fragment_147.0875","0.00142172686214"
"fragment_219.1375","0.00137979961706"
"fragment_158.0925","0.00119845760497"
"fragment_116.0775","0.00115545544716"
"fragment_279.1775","0.00107042671581"
