"Feature","Probability"
"fragment_247.1425","0.0722494142002"
"fragment_184.1325","0.0397931031409"
"fragment_350.1475","0.0229206055435"
"fragment_433.2225","0.0203623481995"
"fragment_327.1325","0.0189692402731"
"fragment_136.0725","0.0150350654871"
"fragment_360.2275","0.0149345292218"
"fragment_322.1525","0.0145309056933"
"fragment_212.1275","0.0136921083763"
"fragment_159.0925","0.0135614971224"
"fragment_299.1375","0.0129571747902"
"fragment_394.2125","0.0129466842246"
"fragment_596.2875","0.0126526899312"
"fragment_459.2975","0.0125080094219"
"fragment_513.2125","0.0116991091702"
"fragment_490.1975","0.011492312146"
"fragment_342.2175","0.0103955043857"
"fragment_219.1475","0.0101243129278"
"loss_27.9925","0.0101114836343"
"fragment_410.2075","0.00998863427676"
"fragment_334.1525","0.00908894733225"
"fragment_346.2125","0.00856436634709"
"fragment_270.1625","0.00836827053697"
"fragment_231.1475","0.00789122401114"
"fragment_129.1025","0.00750113667321"
"fragment_399.2375","0.00729393254218"
"fragment_497.2175","0.00707571750848"
"loss_26.9875","0.00689312179728"
"fragment_248.1475","0.00675498237918"
"fragment_922.4125","0.00638473547724"
"fragment_197.1625","0.00628276995926"
"loss_163.0575","0.00615157647151"
"fragment_415.2125","0.00605714098721"
"fragment_945.4275","0.00605162762215"
"fragment_434.2275","0.00566298968592"
"fragment_558.3625","0.00562537921622"
"fragment_929.4325","0.00560642983163"
"loss_27.9875","0.00558540390271"
"fragment_376.2025","0.0054280848763"
"fragment_306.1625","0.00532450995024"
"fragment_351.1525","0.00510882278545"
"fragment_286.1525","0.00486654364278"
"fragment_739.4175","0.00441740731903"
"fragment_452.5225","0.0043733054883"
"fragment_168.0325","0.00437322502277"
"loss_58.1475","0.00437322183957"
"fragment_689.4575","0.00437314786458"
"fragment_963.4375","0.00437314715553"
"fragment_723.4475","0.00436886397585"
"loss_190.1075","0.00436701072741"
"fragment_580.2925","0.00426371089783"
"fragment_392.1975","0.00400098159777"
"fragment_388.2025","0.00397967138752"
"loss_186.0725","0.00386000796495"
"fragment_568.2925","0.00381091705796"
"fragment_328.1375","0.00372609815576"
"fragment_493.2825","0.00369065999411"
"fragment_514.2175","0.0036683760537"
"fragment_468.1925","0.00363413992607"
"fragment_597.2875","0.00360350985027"
"fragment_759.3475","0.00358138159318"
"fragment_562.3025","0.00343696784374"
"fragment_231.1675","0.00342939381924"
"fragment_191.0825","0.00333408365732"
"loss_140.0425","0.00328775466962"
"fragment_302.1475","0.00328603941811"
"fragment_930.4375","0.00327568977373"
"fragment_185.1375","0.00321875600214"
"fragment_156.1375","0.00317522549407"
"fragment_923.4125","0.00310594725461"
"fragment_350.1525","0.00307354403646"
"fragment_946.4275","0.00300887839174"
"fragment_431.3025","0.00292459919398"
"loss_140.0725","0.00281824541295"
"fragment_460.2975","0.0028168418343"
"fragment_964.4425","0.00281203321675"
"loss_127.0625","0.00280105203499"
"fragment_96.0825","0.00272425067347"
"loss_198.1425","0.00270769744356"
"fragment_405.2275","0.0026677530193"
"fragment_360.2225","0.00265167462394"
"fragment_376.2225","0.00260726971951"
"fragment_573.2675","0.00260663586322"
"fragment_452.8575","0.00258917526209"
"loss_75.1725","0.00253662144144"
"fragment_151.0075","0.00253662038729"
"fragment_285.2375","0.00252603995975"
"fragment_743.3525","0.00251919040335"
